Row Number,Artist Names,Track Names
527,Polo G,Martin & Gina
528,King Theta,Getting Over It
529,Sevdaliza,Habibi
530,"Prettyboi Floydd, Bobby Raps",2 Damaged
531,Capstan,Abstracted
532,Juice WRLD,Conversations
533,Machine Gun Kelly,drunk face
534,Lil Uzi Vert,XO Tour Llif3
535,Kanye West,Ultralight Beam
536,The Weeknd,Scared To Live
537,Justin Rarri,NEVADA
538,"Pritty, Kevin Bedford",Imagine That
539,Speng Squire,Vent
540,Global Dan,For A Reason
541,Pop Smoke,What You Know Bout Love
542,Crybaby Cash,Lllen
543,Juice WRLD,Make Believe
544,Kanye West,Heartless
545,King Theta,Critical Mass
546,"Jay Eskar, Heleen",Just Dance
547,Travis Scott,goosebumps
548,fats'e,blind in the spotlight
549,The Killers,Mr. Brightside
550,Machine Gun Kelly,concert for aliens
551,Trevor Daniel,Never
552,"guardin, Ray Toro",i think you're really cool (with Ray Toro)
553,Evilmane,Alone
554,David Wolves,Impossible
555,Tom The Mail Man,My Storm
556,"93FEETOFSMOKE, WRCKTNGL",bite the curb and sleep well (prod. 93FEETOFSMOKE)
557,Aries,RACECAR
558,TOKYO’S REVENGE,Drug Lullaby
559,"food house, Gupi, Fraxiom",51129
560,SAINt JHN,5 Thousand Singles
561,"Juice WRLD, Rvssian, Clever",Ring Ring (with Rvssian feat. Clever)
562,Kanye West,Wolves
563,"93FEETOFSMOKE, Ghostrage","oh hey, miss ur face"
564,"fats'e, shinigami, 93FEETOFSMOKE",old me
565,AG Club,Hngover
566,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
567,POORSTACY,make up
568,Eminem,The Real Slim Shady
569,Juice WRLD,Armed And Dangerous
570,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
571,benny mayne,THE WORST
572,PARTYNEXTDOOR,Not Nice
573,"Playboi Carti, Lil Uzi Vert",Shoota (feat. Lil Uzi Vert)
574,Lil Uzi Vert,Venetia
575,The Weeknd,After Hours
576,Capstan,Wax Poetic (Acoustic)
577,"Lil Wayne, Lil Uzi Vert",Multiple Flows (with Lil Uzi Vert)
578,SEBii,Butterfly Bankai
579,convolk,get lost
580,"93FEETOFSMOKE, shinigami",it never rains anymore
581,"Eminem, Dido",Stan
582,Beach House,Space Song
583,Drake,When To Say When
584,Petit Biscuit,Memories
585,"Drake, Future",Diamonds Dancing
586,Rezcoast Grizz,Lost You
587,Yungcudii,Think Too Much
588,guardin,Doormat
589,Yusei,Missing Thinking Wanting You
590,Inner Circle,Bad Boys (Theme from COPS)
591,Mooski,Track Star
592,"Future, Lil Uzi Vert",Drankin N Smokin
593,Juice WRLD,Hear Me Calling
594,"Drake, Future",Plastic Bag
595,Shamir,Ocean Eyes
596,Pixies,Where Is My Mind?
597,Lil Uzi Vert,Celebration Station
598,"Dead Robot, Saphir",Wings Apart
599,"Travis Scott, Kacy Hill",90210 (feat. Kacy Hill)
600,KYLE,What It Is
601,Drex Carter,Nandina
602,"Maxd, LoneMoon",Stuart
603,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
604,Kanye West,FML
605,Ibranovski,Only You
606,Fuego,Una Vaina Loca
607,The Weeknd,Too Late
608,King Theta,10 D3m0ns
609,Travis Scott,wonderful
610,Oklou,Entertnmnt
611,Jakkyboí,Why U Gotta Mean So Much?
612,"The Kid LAROI, Juice WRLD",GO (feat. Juice WRLD)
613,Shakewell,Late Night
614,"Kanye West, Travis Scott",Wash Us In The Blood
615,SyKo,#BrooklynBloodPop!
616,Aizayah Hills,Fallout
617,"Netrum, Halvorsen",Shivers
618,"Dominic Fike, Kenny Beats",Phone Numbers
619,Paper Rival,Foreign Film Collection
620,Kanye West,All Of The Lights
621,Tory Lanez,Who Needs Love
622,Jutes,Sideshow
623,"Kanye West, T-Pain",Good Life
624,POORSTACY,Hills Have Eyes
625,juno,karma
626,Shamir,Other Side
627,Pop Smoke,Flexin'
628,brakence,fwb
629,p4rkr,jealousy is a bitch. i hate her
630,"Global Dan, Global AzN",Poison
631,Lil Uzi Vert,Bigger Than Life
632,"Supachefm, jay vee, Jakkyboí","Fine Wine, Long Life"
633,convolk,black heart
634,Drainpuppet,My Chakras Are Fast and Hype
635,Kanye West,Waves
636,Freddie Sunshine,Sun and The Moon
637,"Infraction, Aim To Head",Falling
638,Chief Keef,That's It
639,"abbot, Gordon Snyder, patchymate",Oxygen
640,"Eminem, Nate Dogg",'Till I Collapse
641,Travis Scott,A-Team
642,Sevdaliza,Shabrang
643,"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie)
644,"Flywlkr, Moose",Sippin' fiji (feat. Moose)
645,The Weeknd,Blinding Lights
646,Capstan,Stars Before The Sun
647,guardin,i think you're really cool
648,Drake,Jungle
649,"SAINt JHN, A Boogie Wit da Hoodie",Monica Lewinsky (feat. A Boogie wit da Hoodie)
650,"Mike Posner, Gigamesh",Cooler Than Me - Single Mix
651,Tory Lanez,Do The Most
652,Naïka,Sauce
653,Drex Carter,Monday Mourning
654,"Juice WRLD, Lil Uzi Vert",Lucid Dreams (feat. Lil Uzi Vert) - Remix
655,"Machine Gun Kelly, Travis Barker",Misery Business
656,"Yungcudii, Young $cotty, Suigeneris",Departed
657,"Dream, Ivory",welcome and goodbye
658,Mac DeMarco,My Kind of Woman
659,lil aaron,Dark Matter
660,Juice WRLD,Man Of The Year
661,"Yung Scuff, Jakkyboí",U DO U
662,Lake Vince,TREELINES
663,"Travis Scott, Future, 2 Chainz",3500 (feat. Future & 2 Chainz)
